# Profile Compression settings. Method: Sum Points, using 1 datapoints
# Profile Smoothing is Disabled
#	total	C_2HO-	LiCO_3-	LiF_2-	LiO-	Li_3N-	SO-	LiO_2-	Li_2O-	
#	N/A	40.9138	66.9930	45.4100	22.8669	34.5997	48.1363	39.1065	30.0886	
Sputter Time (s)	Intensity	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	
66	137665	1078.75	43.051	96.2879	3152.98	136.568	23.0198	1017.96	68.138	
67	139631	1135.81	37.0377	116.412	3219.81	176.952	34.0389	1035.07	68.1379	
68	138747	1044.74	34.0298	109.364	3144.31	139.593	16.0088	998.941	78.1822	
69	138076	1064.07	38.0409	80.1947	3068.16	146.654	36.0417	1030.74	58.1029	
70	137540	1082.16	43.0532	86.2265	3225.9	138.584	31.0294	1006.22	63.1208	
71	136182	1082.22	46.0592	102.319	3125.14	154.728	32.0313	1037.29	54.0854	
72	139415	1135.76	32.0296	111.379	3325.05	153.719	21.0135	1079.84	69.1437	
73	136913	1103.61	48.0622	91.2533	3149.79	162.806	32.0345	1079.97	68.1392	
74	136905	1073.47	38.0397	94.2756	3143.52	141.61	32.0313	1040.62	63.1196	
75	137396	1101.4	43.0478	87.2305	3160.08	107.351	26.023	1098.06	57.0983	
76	136408	1102.4	39.0423	117.42	3240.74	120.442	29.0275	1066.3	70.1471	
77	137743	1147.61	45.0586	112.385	3339.54	147.663	36.0454	1086.3	64.1251	
78	135661	1103.75	47.0634	118.425	3153	143.628	43.063	1029.78	58.1016	
79	137846	1070.27	43.0524	80.196	3199.35	151.7	28.024	1094.93	62.1174	
80	136757	1075.68	41.0437	97.2867	3202.78	155.738	32.0331	1030.95	63.1213	
81	134361	1019.43	42.0498	97.2867	3151.79	153.719	29.0257	1035.02	61.1138	
82	137293	1103.61	48.066	102.319	3278.12	139.593	25.0206	1077.79	60.1055	
83	134357	1023.56	43.0503	95.2752	3191.84	157.757	38.0459	1009.58	68.14	
84	136727	1006.66	35.0332	118.43	3273.46	142.619	44.0619	1146.29	70.1464	
85	135531	1080.02	37.0382	83.2109	3156.07	166.857	32.0313	1057.57	75.1712	
86	135851	1029.69	41.0459	100.305	3186.98	136.568	31.0347	1092.76	66.1297	
87	135712	999.963	47.0667	104.331	3219.6	139.593	27.0256	1068.06	58.1024	
88	133926	993.646	36.0375	98.2931	3266.14	143.628	34.0353	1032.03	71.1534	
89	136067	1057.67	47.0604	85.221	3277.35	134.559	41.0532	1051.07	76.1756	
90	134246	1018.3	40.0455	91.252	3179.48	117.427	36.0468	1029.75	67.1367	
91	134495	1041.54	38.035	107.35	3145.94	139.593	38.0465	1076.65	66.1328	
92	134523	985.088	39.042	91.2578	3291.82	146.654	33.0351	1096.96	63.1213	
93	133201	1024.49	54.08	88.2363	3168.98	156.747	26.0207	1057.56	65.1264	
94	135682	1063.8	31.026	109.364	3287.12	153.719	46.0701	1046.9	59.1061	
95	133555	1006.53	35.0364	106.344	3158.85	133.543	40.0502	1080.98	74.1668	
96	135274	1016.98	35.0344	79.1944	3255.15	137.576	28.0263	1050.94	80.1918	
97	134542	1036.14	42.0491	109.364	3187.98	133.543	28.024	1006.33	64.1242	
98	132769	1025.52	41.0489	87.236	3190.84	154.73	49.0758	1056.37	64.1271	
99	133377	1029.82	40.0434	103.337	3249.27	114.398	31.0351	1086.4	60.1093	
100	131173	985.045	48.0661	96.2824	3203	149.682	29.0257	1022.43	44.0587	
101	127508	947.959	46.0563	98.2991	3065.74	133.543	28.024	1009.74	59.1048	
102	129750	920.605	35.0347	95.2804	3127.35	128.503	30.0275	1026.72	62.1147	
103	127943	923.605	35.0338	76.1765	3133.62	134.551	31.0325	983.926	65.1264	
104	125588	932.189	48.0646	102.319	3118.88	120.442	38.0487	975.604	57.099	
105	128080	995.836	46.0606	88.2371	3131.41	109.364	27.0223	1068.22	63.1211	
106	125714	942.861	36.0359	103.324	2982.76	137.576	23.0201	1004.2	64.1246	
107	124250	910.045	34.0339	88.2372	3085.05	113.391	38.0459	1055.42	43.0559	
108	124437	909.914	30.0265	89.2408	2930.25	129.511	34.0358	995.913	54.0871	
109	125226	900.797	42.0502	79.1908	2985.72	123.464	35.0393	964.899	59.1065	
110	123439	894.175	43.0516	96.2822	2950.79	125.479	33.0349	991.599	59.105	
111	121114	875.114	33.0306	92.2573	3005.97	121.456	42.0558	964.055	41.0497	
112	119243	899.457	43.0544	81.2	2963.77	119.441	25.0203	955.732	63.1208	
113	121644	891.91	35.0352	84.216	2897.99	112.385	29.0305	963.861	56.0939	
114	120871	884.634	42.0506	106.343	2956.78	136.568	22.0148	921.43	54.0885	
115	119641	925.78	46.0596	94.2707	2884.87	127.495	20.0122	947.99	52.0827	
116	118839	820.243	43.0515	82.2072	2916.3	114.398	24.0202	937.307	60.11	
117	117426	885.615	46.0641	79.1908	2759.3	129.511	20.0122	960.801	56.0946	
118	120461	863.407	33.0298	100.306	2877.1	110.371	27.0269	924.776	52.0816	
119	119885	879.282	31.0283	85.2237	2896.61	123.472	26.0207	942.761	68.1386	
120	118029	874.116	47.0637	100.313	2817.03	105.338	33.0333	952.288	52.082	
121	117212	848.708	33.0317	97.2929	2795.65	109.371	28.0255	941.636	59.1064	
122	116283	886.671	23.0148	93.2649	2802.79	125.479	39.0465	899.272	46.0637	
123	115045	769.949	39.0445	96.2824	2762.67	122.456	28.0254	916.283	56.0951	
124	114863	821.345	38.0379	89.2426	2730.56	101.313	34.0384	939.529	38.0431	
125	113087	833.021	36.0367	84.2161	2772.2	101.313	25.0217	933.197	46.0647	
126	112986	811.833	43.0513	83.2132	2666.06	99.3003	24.0183	880.277	53.0838	
127	115385	803.478	45.0571	73.1623	2893.22	115.405	29.0257	899.326	55.0914	
128	114458	828.708	36.0378	84.216	2781.26	109.364	22.0161	917.352	52.0818	
129	114824	826.552	40.0441	77.1814	2789.55	130.518	28.0257	962.825	55.0939	
130	113832	821.345	25.0155	82.2044	2697.62	119.434	23.0162	890.747	51.0793	
131	113280	827.599	25.018	84.2147	2754.02	107.351	26.0207	884.599	56.0959	
132	113144	782.534	39.0443	72.1586	2669.06	103.325	25.0206	897.285	47.0666	
133	112422	831.862	42.048	64.1253	2732.74	115.405	32.0313	893.992	52.0823	
134	111507	870.169	30.0256	79.1905	2706.77	101.313	28.024	907.832	56.0956	
135	111355	782.387	30.0268	89.2496	2670.6	120.442	31.0313	855.964	53.0846	
136	110464	803.379	30.0252	77.1815	2595.43	109.364	21.0135	831.874	46.0643	
137	111017	775.238	36.0352	78.1863	2753.57	105.338	22.0158	895.095	50.0765	
138	110914	713.394	35.0328	76.1762	2771.96	115.405	29.0292	917.311	59.1096	
139	113290	831.864	28.0234	103.328	2788.55	110.371	31.0294	887.639	42.0535	
140	113011	840.284	45.0558	83.2106	2818.22	135.559	27.0223	849.872	49.0755	
141	113847	814.037	33.0296	85.2213	2788.55	114.405	25.0191	881.448	57.098	
142	112762	794.325	32.0266	93.2631	2872.95	113.391	29.0257	959.648	44.0571	
143	113483	758.517	43.0509	76.1768	2785	114.398	29.0257	897.3	61.1132	
144	113041	783.534	31.0277	106.343	2726.02	105.338	23.0162	882.549	55.0914	
145	112090	797.127	40.0455	98.2935	2728.2	112.385	22.0148	938.566	55.0915	
146	113097	796.212	33.0309	93.2671	2850.32	111.378	27.0256	866.634	56.0932	
147	112351	791.127	37.0398	92.2588	2729.56	98.2943	26.0207	865.643	58.0992	
148	112750	835.044	34.0334	101.32	2809.91	122.456	30.0275	883.559	40.048	
149	111872	773.094	26.0199	87.2312	2722.47	122.456	22.0148	925.726	55.091	
150	159205	1476.1	91.239	142.619	4702.05	240.76	65.1402	1416.53	186.045	
151	217915	1865.34	82.1871	146.654	6587.24	255.989	84.2407	1770.33	147.661	
152	208517	1809.98	76.1552	165.836	5981.52	243.812	73.1666	1738.23	149.678	
153	201531	1670.64	67.1246	163.82	5790.71	232.644	70.1536	1618.62	135.553	
154	196395	1638.61	73.1481	177.961	5698.66	223.531	60.1133	1619.76	125.473	
155	193068	1644.19	73.1505	167.859	5464.03	238.731	67.1453	1641.45	123.457	
156	191155	1536.27	81.1935	166.847	5347.19	219.463	56.1018	1595.83	122.452	
157	190188	1559.16	73.1508	151.705	5416.25	209.332	45.071	1627.69	95.2743	
158	190284	1523	72.1387	154.735	5184.45	236.702	45.0701	1456.12	113.387	
159	186101	1509.73	68.1324	170.886	5297.75	226.559	47.0724	1551.54	116.413	
160	188137	1545.46	75.1569	173.927	5147.44	212.37	54.0892	1524.21	119.433	
161	185103	1487.99	65.1177	154.728	5300.13	203.256	63.1249	1531.78	108.35	
162	185235	1556.96	75.1624	148.672	5162.51	229.601	52.0827	1574.2	91.2518	
163	185233	1469.21	70.1425	159.775	5324.41	230.615	62.1205	1580.94	112.383	
164	184264	1517.66	62.1143	157.757	5337.49	212.37	44.0687	1582.31	110.367	
165	364649	3975.67	178.909	424.445	13340.4	586.399	148.703	3505.11	301.741	
166	339829	3500.22	167.765	340.514	11748	526.365	131.541	3274.61	257.993	
167	336732	3411.93	174.827	356.857	11242	480.993	116.432	3444.63	248.869	
168	335603	3289.62	147.587	367.094	11704.2	544.997	127.516	3493.03	265.099	
169	336440	3402.54	114.368	376.288	11415.6	482.081	107.363	3444.78	246.837	
170	337589	3383.12	165.767	384.47	11647.2	512.946	121.498	3559.11	232.624	
171	334715	3359.44	174.867	376.283	11639	494.415	127.528	3527.91	216.395	
172	337887	3386.22	145.584	378.339	11575	465.581	116.458	3461.67	234.646	
173	335145	3458.79	163.752	381.415	11592	509.851	116.451	3437.06	247.84	
174	336169	3407.64	165.778	385.49	11615.9	509.883	113.422	3523.72	227.558	
175	335685	3224.33	162.735	368.104	11756.8	496.477	114.414	3413.57	245.81	
176	336832	3398.88	134.51	372.206	11691	495.415	121.474	3428.36	246.827	
177	336407	3311.44	142.568	372.186	11962.8	504.694	131.553	3462.25	220.461	
178	335746	3322.28	165.779	385.509	11926.5	513.978	109.406	3496.14	225.522	
179	335169	3283.56	162.757	369.121	11536.6	466.581	116.441	3417.38	240.725	
180	336953	3369.03	146.585	399.874	11865.4	484.081	125.517	3463.56	232.622	
181	334762	3267.97	147.623	352.791	11675.7	502.632	110.371	3386.46	224.526	
182	338412	3408.49	180.922	365.043	11655.3	462.466	129.532	3562.42	222.478	
183	340331	3350.71	167.814	372.192	12130.9	480.992	116.433	3633.03	240.751	
184	339273	3343.77	158.699	362.002	11963.7	472.785	109.384	3469.69	244.805	
185	339824	3374.82	178.907	377.31	11845.9	463.495	93.29	3580.06	252.909	
186	338146	3339.57	163.744	329.285	12053.6	442.934	126.516	3445.01	236.689	
187	338828	3315.38	161.721	342.552	12068.8	490.263	132.562	3496.97	226.543	
188	340425	3368.1	175.88	398.853	12080.4	477.903	116.437	3464.13	236.698	
189	340416	3380.43	175.855	421.382	12174.8	456.324	118.449	3512.03	267.161	
190	339951	3303.69	185.975	375.274	12098.2	496.446	147.702	3586.42	250.873	
191	340635	3259.33	169.802	387.556	11963.8	481.022	122.471	3546.68	228.556	
192	340588	3340.22	144.583	373.237	12040.7	465.581	106.375	3682.04	236.674	
193	340951	3214.81	150.651	385.505	12103.5	487.199	125.518	3659.2	238.714	
194	339768	3310.23	176.885	411.14	11927.5	533.629	125.505	3557.73	240.76	
195	341566	3337.44	167.801	357.905	12024.1	475.873	136.598	3590.51	244.788	
196	342987	3408.04	175.872	379.415	11952.3	513.978	128.503	3575.5	229.573	
197	340048	3332.69	159.737	349.743	12056.6	471.755	102.353	3633.72	234.655	
198	341159	3325.53	193.029	344.638	12067.8	500.601	119.448	3599.43	214.386	
199	341927	3357.31	157.709	398.803	12247.5	489.232	145.66	3616.08	230.584	
200	342725	3265.08	159.721	421.393	12220.1	503.746	110.4	3541.68	243.784	
201	343490	3151.06	182.942	398.821	12280.2	502.632	124.499	3608.84	221.469	
202	340838	3320.18	176.874	400.876	12279.5	488.232	133.555	3586.93	240.748	
203	342576	3271.34	160.719	395.778	12254	492.384	130.548	3609.08	237.704	
204	341873	3275.45	160.722	422.384	12367.3	470.697	137.597	3505.27	248.863	
205	343520	3270.45	167.817	398.821	12538.3	551.168	141.617	3655.11	246.834	
206	342179	3204.26	163.763	351.745	12316.3	508.851	121.498	3595.4	237.696	
207	342781	3321.74	169.807	414.205	12135.9	476.873	121.47	3651.26	236.689	
208	343612	3265.21	160.712	411.122	12213.9	500.569	120.464	3562.13	225.524	
209	342459	3366.79	153.665	376.289	12316.4	474.814	153.728	3609.88	255.974	
210	345245	3363.07	161.725	342.548	12498.5	511.915	130.54	3624.46	265.118	
211	344070	3306.7	169.817	403.95	12316.3	496.477	112.39	3722.98	254.966	
212	346663	3464.02	168.808	413.16	12489	543.938	135.566	3657.97	240.722	
213	343692	3241.27	146.624	415.233	12584.6	472.785	115.452	3632.26	232.616	
214	345201	3248.88	155.703	382.428	12654.8	515.073	101.334	3591.18	244.827	
215	345503	3290.66	168.795	371.179	12578.3	529.464	126.523	3754.68	256.977	
216	345688	3325.73	151.656	396.779	12410.5	497.538	116.44	3719.7	224.519	
217	346632	3361.9	154.689	389.626	12446.2	500.569	143.678	3743.18	216.417	
218	347383	3352.17	160.737	427.547	12604.1	470.697	128.517	3718.77	245.82	
219	346903	3354.38	172.843	388.585	12678.8	510.883	108.395	3649.17	232.63	
220	345022	3215.21	164.726	388.604	12593.3	500.569	122.482	3739.03	237.694	
221	345776	3237.92	161.726	405.981	12472.8	476.903	113.423	3742.94	221.485	
222	345764	3305.5	159.742	389.609	12408	477.932	124.492	3707.22	248.856	
223	347508	3208.36	159.738	448.074	12569.6	483.051	122.494	3707.81	234.66	
224	347151	3340.21	179.906	383.447	12739.6	522.268	118.441	3758.82	242.777	
225	346903	3237.12	155.677	419.34	12475.2	506.757	135.59	3733.45	218.43	
226	347936	3265.67	166.804	409.077	12939.7	529.562	103.375	3685.52	250.904	
227	347014	3285.23	179.879	404.977	12528.7	487.172	132.557	3723.9	217.438	
228	347337	3265.27	157.703	413.159	12559.8	473.785	124.5	3630.18	247.853	
229	345860	3283.68	173.828	396.771	12748.3	480.992	126.529	3750.8	241.767	
230	349215	3359.66	153.667	385.492	12661.8	488.202	125.514	3777.93	250.904	
231	348643	3327.61	139.563	438.848	12577.2	495.415	119.455	3747.34	225.531	
232	348377	3298.57	161.717	397.779	12650.5	475.844	128.539	3782.17	231.607	
233	350289	3220.33	165.799	425.541	12530.8	506.757	124.479	3717.08	260.043	
234	347492	3227.86	168.81	442.947	12846.4	524.364	128.537	3791.84	280.372	
235	347358	3186.2	187.989	436.75	12506.2	521.203	112.415	3817.03	240.748	
236	349765	3309.03	165.788	415.211	12535.3	498.508	120.455	3726.6	254.953	
237	348976	3171.32	173.842	435.733	12861.8	501.601	108.383	3809.96	236.687	
238	349539	3258.68	195.117	425.488	12960.2	461.463	143.667	3795.45	242.772	
239	350236	3193.78	171.832	439.87	12833.4	486.142	128.517	3807.63	237.71	
240	349385	3276.23	152.655	388.6	12720.2	466.61	124.501	3760.05	261.039	
241	350464	3341.49	186.988	397.787	12969.8	510.915	123.491	3723.92	252.92	
242	349270	3354.41	183.925	438.833	12624.5	501.601	129.527	3705.08	253.95	
243	350149	3313.56	178.896	421.377	12858.8	485.111	121.487	3834.3	230.596	
244	348353	3399.19	186.985	425.476	12556.8	459.409	123.499	3730.47	243.775	
245	351316	3247.93	184.977	419.325	13128.4	458.391	127.543	3782.78	254.967	
246	348820	3211.61	168.799	395.752	13232.1	478.962	130.554	3681.67	252.904	
247	352599	3362.22	176.875	418.305	13032	500.569	130.556	3742.33	257.991	
248	351246	3306.25	162.75	418.315	13096.9	497.489	123.471	3774.78	242.781	
249	353024	3298.6	208.222	451.145	13220.1	498.508	141.644	3779.62	260.045	
250	351468	3269.52	156.702	439.846	13054.9	515.01	114.445	3843.79	251.909	
251	353480	3413.66	160.756	415.226	13107.9	484.081	127.517	3801.21	245.817	
252	350396	3262.35	185.004	432.653	13126.3	480.992	115.432	3775.25	232.631	
253	352991	3329.34	207.205	458.341	13307.8	472.755	133.581	3844.2	252.915	
254	350607	3310.11	186.982	438.82	13039.8	534.642	134.599	3825.75	246.83	
255	354372	3314.26	154.669	451.154	13173.9	499.539	140.618	3823.42	287.498	
256	352918	3233.07	186.992	461.416	13065	520.171	135.614	3781.04	244.796	
257	354170	3406.72	196.056	461.433	13003.9	489.232	136.583	3966.42	217.429	
258	354286	3174.11	182.949	417.326	13313.8	476.903	127.526	3883.57	237.704	
259	353547	3374.36	208.231	452.173	13197.5	491.293	122.478	3881.19	236.691	
260	355072	3354.32	180.909	434.716	13653.7	526.398	130.548	3912.49	262.049	
261	354345	3250.93	180.931	427.539	13258.8	518.126	124.507	3868.12	250.911	
262	355020	3403.58	176.898	441.9	13510.9	516.042	118.442	3866.16	254.946	
263	354496	3221.12	157.708	453.227	13107.5	504.725	117.444	3959.16	273.235	
264	354205	3278.75	175.883	416.265	13418.9	539.795	133.58	3957.8	253.944	
265	355662	3125.41	171.872	410.16	13514.5	488.202	115.413	3858.36	262.069	
266	355799	3383.89	182.931	477.956	13314.8	507.788	135.598	3922.8	249.875	
267	354600	3302.47	173.857	408.033	13121.8	478.932	133.597	3908.67	229.577	
268	356524	3255.38	194.043	483.05	13437.2	515.01	144.678	3997.59	260.052	
269	356999	3322.51	163.75	464.516	13485.8	509.851	123.505	3869.59	267.146	
270	357640	3217.9	184.955	444.982	13601.8	468.639	126.515	3997.65	259.018	
271	357578	3290.34	180.954	452.192	13460.4	511.915	137.601	3968.08	265.122	
272	356884	3208.46	188.008	453.222	13731.9	512.946	134.581	3856.18	220.467	
273	358114	3253.03	184.964	442.957	13612	533.611	134.596	4003.78	222.493	
274	356138	3408.5	206.182	461.463	13349.2	469.697	129.518	3904.38	237.709	
275	356628	3307.12	194.072	454.296	13407	495.446	134.579	3936.94	233.647	
276	358608	3227.85	170.823	437.801	13596.5	541.862	115.43	3900.15	256.988	
277	356003	3342.9	199.119	418.291	13565.5	467.61	138.617	3942.44	235.662	
278	357205	3256.25	177.896	479.952	13575.6	496.446	134.575	4009.32	275.264	
279	357185	3259.69	163.745	465.542	13484.5	533.662	132.556	3943.18	265.124	
280	357561	3230.04	165.768	484.111	13396.7	526.365	130.532	3933.89	269.173	
281	355974	3279.3	196.116	485.104	13781.1	464.523	136.623	3942	264.062	
282	357963	3177.33	185.949	432.658	13428.7	507.82	126.507	4084.78	252.931	
283	357473	3266.01	170.81	428.546	13569	477.903	127.502	3973.49	236.685	
284	357849	3219.47	199.116	450.124	13670.8	491.293	144.662	3910.76	229.597	
285	357191	3187.32	175.877	443.997	13675	472.755	138.625	3942.57	251.908	
286	358888	3263.13	197.105	469.684	14009.3	520.203	135.582	4026.81	217.419	
287	359458	3289.68	144.596	513.989	13712.5	544.964	138.612	3962.74	259.036	
288	359739	3277.47	189.983	454.236	13816.9	502.632	120.455	3976.45	237.706	
289	358019	3240.75	176.913	513.99	13620.2	492.323	130.532	4060.1	249.852	
