# Profile Compression settings. Method: Sum Points, using 1 datapoints
# Profile Smoothing is Disabled
#	total	C_2HO-	LiCO_3-	LiF_2-	LiO-	Li_3N-	SO-	LiO_2-	Li_2O-	
#	N/A	40.9138	66.9930	45.4100	22.8669	34.5997	48.1363	39.1065	30.0886	
Sputter Time (s)	Intensity	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	
313	362171	3269.74	170.828	449.132	14143.3	519.138	103.359	4109.91	226.539	
314	363288	3146.17	196.083	492.344	14060.1	550.134	136.583	3994.5	243.78	
315	363784	3217.25	190.003	474.808	14360.8	482.064	129.533	4069.08	251.887	
316	363306	3261.91	178.911	512.931	14053.4	530.497	137.584	4109.28	268.174	
317	364450	3232.74	175.891	502.668	14007.9	544.964	132.548	4069.29	271.221	
318	361359	3151.06	182.958	467.65	14233.6	493.354	151.728	4087.22	238.729	
319	362347	3128.2	202.162	477.968	14354	515.042	134.581	4072.51	248.874	
320	363681	3173.11	186.998	482.011	14365.7	526.365	125.494	4120.27	272.237	
321	361772	3223.76	195.104	460.409	14368.7	532.629	126.529	4150.11	258.006	
322	362984	3186.62	226.46	475.855	14000.7	490.293	131.57	4027.06	267.15	
323	362190	3171.9	206.196	447.039	13858.8	506.788	143.657	4133.16	259.024	
324	364679	3163.11	204.204	486.177	14100.3	493.384	112.407	4148.23	238.712	
325	361261	3210.95	191.053	472.769	13939.5	527.431	167.877	4062.76	249.88	
326	363942	3160.77	184.975	496.459	14526.5	557.386	145.66	4109.2	235.666	
327	362985	3075.22	198.119	466.602	14283.9	521.203	129.546	4227.31	273.247	
328	364547	3262.58	199.099	450.165	14318	490.384	114.434	4148.45	275.274	
329	363630	3220.68	202.175	472.794	14161.9	496.446	135.599	4112.31	248.862	
330	363987	3092.99	206.189	487.195	14172.7	556.34	125.507	4106.73	272.238	
331	361098	3193.21	192.057	495.413	13990.6	543.93	123.519	4136.46	258.996	
332	364932	3123.19	183.964	426.515	14069.6	547.031	141.635	4191.49	250.885	
333	364638	3116.78	197.1	490.285	14363.3	537.728	127.523	4036.43	243.805	
334	364136	3120.14	177.893	464.547	14051.4	510.915	121.483	4143.85	268.163	
335	362862	3158.12	189.037	469.666	14139.5	516.042	111.407	4116.87	241.763	
336	363616	3140.52	201.153	467.648	14420.3	534.629	127.533	4031.12	266.112	
337	363523	3095.37	208.238	474.837	14168.4	551.202	123.501	4113.77	303.791	
338	363954	3156.35	172.876	510.903	14354.4	514.01	135.598	4200.92	264.111	
339	364685	3146	207.225	478.926	14173.5	504.694	133.566	4147.03	257.999	
340	364186	3229.27	193.077	466.6	14222.7	525.333	142.651	4191.06	266.133	
341	365483	3098.17	184.948	464.532	14489.4	509.851	130.534	4164.36	231.608	
342	364080	3121.14	210.271	502.659	14488.4	537.788	133.567	4109.84	253.921	
343	364899	3197.42	184.964	495.478	14435.2	506.82	153.728	4160.76	261.057	
344	364289	3098.54	204.186	527.391	14307.7	505.725	139.602	4151.46	238.725	
345	366033	3101.62	213.304	503.681	14047.3	552.271	133.574	4113.03	230.605	
346	364601	3229.08	203.19	476.885	14510.3	522.235	114.411	4139.17	258.012	
347	365824	3113.59	174.871	549.137	14397.6	541.862	151.751	4089.39	257.996	
348	363669	3150.44	204.17	463.488	14503.3	513.978	129.541	4169.62	264.094	
349	362798	3287.44	197.129	511.962	14329.8	515.041	139.608	4160.76	281.392	
350	364354	3011.9	203.159	481.01	14306.2	511.915	157.776	4122.74	262.054	
351	363536	3180.39	190.044	518.158	14257.4	505.725	151.727	4192.62	263.093	
352	365670	3127.41	228.501	477.914	14583.5	512.978	116.432	4117.44	260.04	
353	365436	3162.91	219.37	472.748	14526.3	497.477	140.626	4196.03	244.803	
354	365979	3177.18	178.883	470.698	14346.7	517.074	133.564	4138.24	250.888	
355	365931	3156.92	195.089	475.83	14301.1	526.365	124.472	4187.21	269.176	
356	365563	3225.34	183.964	451.149	14673	512.946	127.533	4144.38	258.024	
357	366750	3155.13	203.187	538.786	14301.9	515.01	102.331	4240.63	272.227	
358	363351	3106.43	192.031	475.843	14237.8	487.172	122.471	4215.63	260.027	
359	365910	3181.12	208.244	476.861	14374.3	495.446	129.53	4193.55	271.217	
360	365028	3160.34	205.177	463.525	14125.7	528.439	133.588	4105.95	256.991	
361	368372	3157.92	197.126	516.049	14646.5	510.915	146.704	4205.43	277.299	
362	365589	3175.55	206.213	498.509	14640.2	525.333	118.46	4181.07	237.691	
363	365735	3230.92	221.377	474.819	14366.3	499.6	135.573	4257.35	282.388	
364	366184	3124.38	206.223	522.261	14471.8	536.762	129.511	4192.3	250.896	
365	367629	3166.97	204.177	517.073	14256.5	488.202	157.785	4238.75	252.924	
366	367912	3061.15	204.209	496.443	14483.4	507.788	135.582	4121.86	272.232	
367	368107	3221.1	165.752	509.838	14665.7	520.182	142.651	4113.38	279.344	
368	367512	3011.15	216.312	510.947	14392.6	464.552	159.813	4181.56	251.892	
369	366651	3115.19	202.178	538.816	14269.9	474.814	126.516	4230.45	279.362	
370	366843	3145.37	214.307	494.389	14517.4	535.662	143.662	4153.44	256.99	
371	368065	3089.12	231.522	509.891	14601.1	477.903	132.549	4199.12	273.244	
372	366069	3140.73	203.196	505.766	14501.5	465.581	148.689	4179.3	260.033	
373	370023	3197.19	213.263	506.763	14628.9	496.446	131.542	4262.99	232.631	
374	368389	3271.97	218.323	528.46	14574.1	543.964	111.41	4278.65	267.145	
375	367790	3168.03	194.057	495.454	14447.6	494.415	162.845	4097.82	266.123	
376	369759	3069.6	197.132	581.203	14507.3	498.508	159.835	4158.41	262.051	
377	367791	3093.96	201.175	541.884	14097.6	558.409	133.582	4177.19	255.972	
378	369601	3012.76	216.338	519.203	14446.8	534.728	124.493	4159.78	235.676	
379	368299	2977.81	225.455	483.058	14553.9	501.601	132.565	4164.21	254.965	
380	369548	3104.85	205.206	538.772	14448.6	496.446	151.709	4159.81	285.458	
381	367818	3074.02	212.294	532.572	14557.3	532.562	142.627	4264.24	256.977	
382	366829	3165.27	224.437	514.016	14852.7	446.016	131.57	4219.78	246.804	
383	367710	3062.53	184.985	503.676	14518	490.263	138.605	4172.01	269.156	
384	367754	3066.24	209.258	517.06	14371.1	501.601	169.924	4210.91	246.833	
385	367612	3143.19	217.355	565.745	14369.1	516.042	134.584	4218.43	276.318	
386	366232	3070.51	193.06	486.156	14335.1	497.477	147.715	4337.61	276.287	
387	367877	3123.77	188.022	500.568	14396.6	510.915	150.708	4164.93	272.231	
388	368049	3037.26	211.275	486.132	14507.7	498.538	116.426	4157.3	285.461	
389	367969	3105.63	207.228	514.001	14482.1	570.865	139.613	4105.97	233.627	
390	369677	3095.16	226.478	498.497	14350.5	541.906	145.647	4148.7	263.08	
391	369011	2950.84	215.341	520.183	14269.4	500.608	138.659	4205.44	241.76	
392	367975	3091.13	191.023	512.942	14792.9	484.081	133.557	4210.57	265.126	
393	369716	3028.64	158.731	495.407	14472	515.01	153.756	4116.76	243.787	
394	371437	3031.39	191.048	528.453	14624.5	500.632	129.548	4151.05	246.837	
395	371327	3125.14	221.405	530.487	14427.8	549.133	137.609	4134.18	271.21	
396	368512	2983.15	195.048	579.109	14576.4	511.915	119.448	4121.81	264.098	
397	367959	2967.63	188.013	490.272	14266	500.569	144.654	4139.72	285.45	
398	369250	3077.63	215.29	501.587	14478.2	511.915	142.644	4160.29	266.138	
399	371950	3140	182.944	530.495	14595.7	526.365	142.66	4249.84	300.704	
400	0	0	0	0	0	0	0	0	0	
